Periodo,2022M01,2022M01,2022M02,2022M02,2022M03,2022M03,2022M04,2022M04,2022M05,2022M05,2022M06,2022M06,2022M07,2022M07,2022M08,2022M08,2022M09,2022M09,2022M10,2022M10,2022M11,2022M11,2022M12,2022M12
Residencia_Nivel_2,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero
PALENCIA,6.721,894,9.543,1.076,9.809,1.470,14.038,3.106,12.855,6.288,14.017,5.648,16.797,6.024,20.973,8.413,16.072,6.908,14.004,4.875,12.180,1.263,8.112,1.293
PONTEVEDRA,30.782,5.105,41.780,8.476,46.776,11.223,79.816,29.273,79.215,44.016,105.027,44.002,173.123,45.052,201.361,54.275,123.636,58.969,95.810,36.607,64.716,11.522,79.742,24.449
SALAMANCA,28.555,8.358,42.586,9.207,42.690,12.551,63.825,20.818,52.592,24.569,56.820,23.976,66.198,34.909,83.128,39.268,66.176,28.791,64.436,27.964,43.816,15.859,48.700,16.688
SEGOVIA,16.875,2.331,23.119,2.604,24.782,3.388,32.177,6.680,27.653,7.892,35.036,7.821,41.710,10.371,47.996,8.205,34.357,10.228,33.298,7.653,26.786,4.090,24.301,3.197
SEVILLA,112.980,57.187,140.464,75.734,151.606,107.515,166.182,132.923,160.761,162.280,175.085,138.129,138.999,123.990,147.417,161.425,164.561,160.402,163.745,166.288,159.021,112.726,142.195,100.802
SORIA,7.752,701,12.945,656,12.688,726,18.243,1.239,17.555,1.979,17.976,1.766,20.550,2.614,27.046,1.999,19.860,1.899,20.812,1.834,14.828,1.007,11.932,601
STA. CRUZ DE TENERIFE,48.694,184.433,64.206,236.632,71.225,262.334,97.456,260.334,107.534,224.717,116.503,228.907,139.005,249.417,144.470,253.837,116.456,231.534,98.347,279.713,79.779,268.582,83.526,296.760
TARRAGONA,32.921,10.416,33.408,9.522,43.415,13.987,179.316,72.714,197.388,139.713,297.668,137.196,290.026,212.123,285.189,230.290,200.566,158.793,146.433,106.469,58.339,25.306,88.032,21.041
TERUEL,19.732,1.898,23.868,1.887,23.764,3.057,40.047,4.512,30.250,5.111,33.273,4.643,34.592,4.757,49.383,5.577,36.676,6.552,39.289,5.327,25.098,3.394,26.117,1.909
TOLEDO,33.217,6.088,41.121,7.452,39.493,11.126,59.140,14.508,58.488,16.296,59.470,15.968,54.438,17.222,62.622,20.135,63.058,18.323,65.061,19.040,46.495,12.790,47.920,12.283
VALENCIA,98.146,49.897,134.112,67.378,158.121,88.282,187.588,117.070,185.418,135.221,208.777,126.241,216.352,155.496,199.207,167.917,181.953,137.372,165.661,139.364,148.180,100.210,140.763,84.102
VALLADOLID,30.617,4.299,38.712,4.501,43.857,6.735,46.585,8.736,45.948,10.184,55.403,11.502,50.481,19.806,51.303,25.507,56.779,14.757,54.395,10.878,48.705,7.150,44.018,6.380
ZAMORA,7.059,710,10.867,709,12.588,1.027,18.091,2.099,16.021,3.963,19.716,3.009,23.875,3.170,28.859,3.689,20.783,3.391,20.858,2.809,14.033,1.396,11.229,986
ZARAGOZA,47.469,11.680,64.237,15.637,79.611,19.844,105.153,27.162,91.928,28.941,95.814,29.565,93.812,38.013,107.262,50.810,98.802,37.120,111.251,32.221,87.803,21.133,86.404,20.346
