Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	07 Castilla y León	34 Palencia	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	10.459
Total Nacional	07 Castilla y León	37 Salamanca	Viajero	Total 		2023M09	104.504
Total Nacional	07 Castilla y León	37 Salamanca	Viajero	Total 	Residentes en España	2023M09	71.601
Total Nacional	07 Castilla y León	37 Salamanca	Viajero	Total 	Residentes en el Extranjero	2023M09	32.903
Total Nacional	07 Castilla y León	37 Salamanca	Pernoctaciones	Total 		2023M09	187.885
Total Nacional	07 Castilla y León	37 Salamanca	Pernoctaciones	Total 	Residentes en España	2023M09	138.127
Total Nacional	07 Castilla y León	37 Salamanca	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	49.759
Total Nacional	07 Castilla y León	40 Segovia	Viajero	Total 		2023M09	49.975
Total Nacional	07 Castilla y León	40 Segovia	Viajero	Total 	Residentes en España	2023M09	37.673
Total Nacional	07 Castilla y León	40 Segovia	Viajero	Total 	Residentes en el Extranjero	2023M09	12.302
Total Nacional	07 Castilla y León	40 Segovia	Pernoctaciones	Total 		2023M09	91.441
Total Nacional	07 Castilla y León	40 Segovia	Pernoctaciones	Total 	Residentes en España	2023M09	63.699
Total Nacional	07 Castilla y León	40 Segovia	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	27.742
Total Nacional	07 Castilla y León	42 Soria	Viajero	Total 		2023M09	24.892
Total Nacional	07 Castilla y León	42 Soria	Viajero	Total 	Residentes en España	2023M09	22.214
Total Nacional	07 Castilla y León	42 Soria	Viajero	Total 	Residentes en el Extranjero	2023M09	2.678
Total Nacional	07 Castilla y León	42 Soria	Pernoctaciones	Total 		2023M09	41.681
Total Nacional	07 Castilla y León	42 Soria	Pernoctaciones	Total 	Residentes en España	2023M09	38.023
Total Nacional	07 Castilla y León	42 Soria	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	3.658
Total Nacional	07 Castilla y León	47 Valladolid	Viajero	Total 		2023M09	70.624
Total Nacional	07 Castilla y León	47 Valladolid	Viajero	Total 	Residentes en España	2023M09	55.367
Total Nacional	07 Castilla y León	47 Valladolid	Viajero	Total 	Residentes en el Extranjero	2023M09	15.257
Total Nacional	07 Castilla y León	47 Valladolid	Pernoctaciones	Total 		2023M09	125.498
Total Nacional	07 Castilla y León	47 Valladolid	Pernoctaciones	Total 	Residentes en España	2023M09	97.863
Total Nacional	07 Castilla y León	47 Valladolid	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	27.635
Total Nacional	07 Castilla y León	49 Zamora	Viajero	Total 		2023M09	23.167
Total Nacional	07 Castilla y León	49 Zamora	Viajero	Total 	Residentes en España	2023M09	19.163
Total Nacional	07 Castilla y León	49 Zamora	Viajero	Total 	Residentes en el Extranjero	2023M09	4.004
Total Nacional	07 Castilla y León	49 Zamora	Pernoctaciones	Total 		2023M09	40.006
Total Nacional	07 Castilla y León	49 Zamora	Pernoctaciones	Total 	Residentes en España	2023M09	33.843
Total Nacional	07 Castilla y León	49 Zamora	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	6.164
Total Nacional	08 Castilla - La Mancha		Viajero	Total 		2023M09	219.581
Total Nacional	08 Castilla - La Mancha		Viajero	Total 	Residentes en España	2023M09	180.736
Total Nacional	08 Castilla - La Mancha		Viajero	Total 	Residentes en el Extranjero	2023M09	38.844
Total Nacional	08 Castilla - La Mancha		Pernoctaciones	Total 		2023M09	379.122
Total Nacional	08 Castilla - La Mancha		Pernoctaciones	Total 	Residentes en España	2023M09	312.953
Total Nacional	08 Castilla - La Mancha		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	66.169
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total 		2023M09	38.573
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total 	Residentes en España	2023M09	34.293
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total 	Residentes en el Extranjero	2023M09	4.279
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total 		2023M09	79.449
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total 	Residentes en España	2023M09	72.408
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	7.041
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total 		2023M09	41.596
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total 	Residentes en España	2023M09	36.082
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total 	Residentes en el Extranjero	2023M09	5.514
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total 		2023M09	69.823
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total 	Residentes en España	2023M09	61.223
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	8.600
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total 		2023M09	27.683
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total 	Residentes en España	2023M09	23.534
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total 	Residentes en el Extranjero	2023M09	4.150
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total 		2023M09	49.192
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total 	Residentes en España	2023M09	41.702
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	7.490
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total 		2023M09	23.159
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total 	Residentes en España	2023M09	19.102
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total 	Residentes en el Extranjero	2023M09	4.056
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total 		2023M09	39.745
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total 	Residentes en España	2023M09	31.928
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	7.817
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total 		2023M09	88.570
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total 	Residentes en España	2023M09	67.725
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total 	Residentes en el Extranjero	2023M09	20.845
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total 		2023M09	140.912
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total 	Residentes en España	2023M09	105.691
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	35.222
Total Nacional	09 Cataluña		Viajero	Total 		2023M09	2.214.499
Total Nacional	09 Cataluña		Viajero	Total 	Residentes en España	2023M09	763.037
Total Nacional	09 Cataluña		Viajero	Total 	Residentes en el Extranjero	2023M09	1.451.462
Total Nacional	09 Cataluña		Pernoctaciones	Total 		2023M09	6.659.315
Total Nacional	09 Cataluña		Pernoctaciones	Total 	Residentes en España	2023M09	1.616.219
Total Nacional	09 Cataluña		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	5.043.096
