Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M04	65.504
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M03	54.895
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M02	53.129
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M01	40.303
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M06	32.670
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M05	43.781
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M04	39.625
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M03	26.537
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M02	17.414
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M01	13.587
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M06	143.488
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M05	191.184
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M04	182.383
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M03	138.496
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M02	123.322
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M01	94.243
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M06	90.359
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M05	118.656
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M04	118.883
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M03	92.613
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M02	92.965
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M01	69.806
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	53.128
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	72.528
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	63.500
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	45.883
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	30.356
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	24.437
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M06	230.734
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M05	227.833
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M04	251.720
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M03	189.681
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M02	189.794
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M01	149.411
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M06	141.675
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M05	130.377
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M04	159.647
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M03	129.162
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M02	145.351
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M01	110.796
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M06	89.059
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M05	97.455
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M04	92.073
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M03	60.519
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M02	44.443
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M01	38.615
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M06	458.832
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M05	449.580
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M04	511.603
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M03	362.956
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M02	349.549
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M01	277.395
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M06	273.633
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M05	245.474
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M04	311.836
